"special_activity_type","product_name","activity_name","unit","ISIC_number","ISIC_class","CPC_number","CPC_description","FAO_code","FAO_name","ProductCategory","ProductSubcategory","ProductName","ActivityName","Unit","ProductSubgroup","FeedIngredients"
"ordinary transforming activity","energy feed, gross","buttermilk, from cow milk to generic market for protein feed","MJ","1050","Manufacture of dairy products","23319","Preparations used in animal feeding n.e.c.","0840","Compound Feed, Cattle",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","energy feed, gross","buttermilk, from cow milk to generic market for protein feed","MJ","1050","Manufacture of dairy products","23319","Preparations used in animal feeding n.e.c.","0841","Compound Feed, Poultry",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","energy feed, gross","buttermilk, from cow milk to generic market for protein feed","MJ","1050","Manufacture of dairy products","23319","Preparations used in animal feeding n.e.c.","0842","Compound Feed, Pigs",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","energy feed, gross","buttermilk, from cow milk to generic market for protein feed","MJ","1050","Manufacture of dairy products","23319","Preparations used in animal feeding n.e.c.","0845","Compound Feed nes",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","energy feed, gross","buttermilk, from cow milk to generic market for protein feed","MJ","1050","Manufacture of dairy products","23319","Preparations used in animal feeding n.e.c.","0849","Feed Yeast",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","energy feed, gross","buttermilk, from cow milk to generic market for protein feed","MJ","1050","Manufacture of dairy products","23319","Preparations used in animal feeding n.e.c.","0850","Feed Supplements",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","energy feed, gross","buttermilk, from cow milk to generic market for protein feed","MJ","1050","Manufacture of dairy products","23319","Preparations used in animal feeding n.e.c.","0851","Non-Protein Nitrogens",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","energy feed, gross","buttermilk, from cow milk to generic market for protein feed","MJ","1050","Manufacture of dairy products","23319","Preparations used in animal feeding n.e.c.","0852","Other Concentrates nes",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","energy feed, gross","buttermilk, from cow milk to generic market for protein feed","MJ","1050","Manufacture of dairy products","23319","Preparations used in animal feeding n.e.c.","0853","Vitamins",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","energy feed, gross","buttermilk, from cow milk to generic market for protein feed","MJ","1050","Manufacture of dairy products","23319","Preparations used in animal feeding n.e.c.","0854","Feed Additives",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","energy feed, gross","buttermilk, from cow milk to generic market for protein feed","MJ","1050","Manufacture of dairy products","23319","Preparations used in animal feeding n.e.c.","0855","Feed Minerals",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","skimmed milk, from cow milk","butter production, from cream, from cow milk","kg","1050","Manufacture of dairy products","22110","Processed liquid milk","0883","Standardized Milk",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","skimmed milk, from cow milk","butter production, from cream, from cow milk","kg","1050","Manufacture of dairy products","22110","Processed liquid milk","0888","Skim Milk of Cows",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","skimmed milk, from cow milk","butter production, from cream, from cow milk","kg","1050","Manufacture of dairy products","22110","Processed liquid milk","0908","Reconstituted Milk",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","skimmed milk, from cow milk","butter production, from cream, from cow milk","kg","1050","Manufacture of dairy products","22110","Processed liquid milk","0954","Skim Milk of Buffalo",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","skimmed milk, from cow milk","butter production, from cream, from cow milk","kg","1050","Manufacture of dairy products","22110","Processed liquid milk","0985","Skim Sheep Milk",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","skimmed milk, from cow milk","butter production, from cream, from cow milk","kg","1050","Manufacture of dairy products","22110","Processed liquid milk","1023","Skim Milk of Goat",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","ammonium nitrate, as N","calcium nitrate production","kg","2012","Manufacture of fertilizers and nitrogen compounds","34613","Ammonium nitrate","310230","Ammonium nitrate",NA,NA,NA,NA,NA,NA,NA
"ordinary transforming activity","calcium nitrate","calcium nitrate production","kg","2012","Manufacture of fertilizers and nitrogen compounds","34240","Phosphates of triammonium; salts and peroxysalts of inorganic acids and metals n.e.c.",NA,NA,NA,NA,NA,NA,NA,NA,NA
